No.,SAMPLE_ID,식품명,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1회제공량,에너지(Kcal),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),트랜스 지방산(g)
166,R001665-ZZ-AVG,"소고기, 한우(1++등급), 우둔(홍두깨살), 생것",전국(대표),2019,농축산물,육류,R001665,농진청('11),100,161,21.2,7.8,0,0,62,0,0,0
167,R001666-ZZ-AVG,"소고기, 한우(1++등급), 양지(양지머리), 생것",전국(대표),2019,농축산물,육류,R001666,농진청('11),100,198,19.1,12.9,0,0,104,0,0,0
168,R001667-ZZ-AVG,"소고기, 한우(1++등급), 양지(업진살), 생것",전국(대표),2019,농축산물,육류,R001667,농진청('11),100,253,17.8,19.6,0,0,101,0,0,0
169,R001668-ZZ-AVG,"소고기, 한우(1++등급), 채끝(채끝살), 생것",전국(대표),2019,농축산물,육류,R001668,농진청('11),100,265,17.8,21,0,0,48,0,0,0
170,R001669-ZZ-AVG,"소고기, 한우(3등급), 등심, 생것",전국(대표),2019,농축산물,육류,R001669,농진청('11),100,117,21.3,2.9,0,0,49,0,0,0
171,R001670-ZZ-AVG,"소고기, 한우(3등급), 목심(목심살), 생것",전국(대표),2019,농축산물,육류,R001670,농진청('11),100,102,21.4,1.2,0,0,69,0,0,0
172,R001671-ZZ-AVG,"소고기, 한우(3등급), 설도(보섭살), 생것",전국(대표),2019,농축산물,육류,R001671,농진청('11),100,108,22.2,1.5,0,0,104,0,0,0
173,R001672-ZZ-AVG,"소고기, 한우(3등급), 설도(설깃살), 생것",전국(대표),2019,농축산물,육류,R001672,농진청('11),100,104,22.2,1,0,0,83,0,0,0
174,R001673-ZZ-AVG,"소고기, 한우(3등급), 앞다리(꾸리살), 생것",전국(대표),2019,농축산물,육류,R001673,농진청('11),100,103,21.5,1.2,0,0,77,0,0,0
175,R001674-ZZ-AVG,"소고기, 한우(3등급), 우둔(우둔살), 생것",전국(대표),2019,농축산물,육류,R001674,농진청('11),100,107,22.8,1.1,0,0,58,0,0,0
176,R001675-ZZ-AVG,"소고기, 한우(3등급), 우둔(홍두깨살), 생것",전국(대표),2019,농축산물,육류,R001675,농진청('11),100,105,22.5,1,0,0,61,0,0,0
177,R001676-ZZ-AVG,"소고기, 한우(3등급), 양지(양지머리), 생것",전국(대표),2019,농축산물,육류,R001676,농진청('11),100,105,21.4,1.5,0,0,125,0,0,0
178,R001677-ZZ-AVG,"소고기, 한우(3등급), 양지(업진살), 생것",전국(대표),2019,농축산물,육류,R001677,농진청('11),100,112,21.7,2.1,0,0,86,0,0,0
179,R001678-ZZ-AVG,"소고기, 한우(3등급), 채끝(채끝살), 생것",전국(대표),2019,농축산물,육류,R001678,농진청('11),100,114,22.4,2,0,0,62,0,0,0
180,R001679-ZZ-AVG,"소고기, 한우(1등급), 목심(목심살), 생것",전국(대표),2019,농축산물,육류,R001679,농진청('16),100,189,21.6,10.69,0,0,61,69.5,4.23,0.24
181,R001680-ZZ-AVG,"소고기, 한우(1등급), 설도(보섭살), 생것",전국(대표),2019,농축산물,육류,R001680,농진청('16),100,161,21.75,7.57,0,0,49,62.31,3.28,0.16
182,R001681-ZZ-AVG,"소고기, 한우(1등급), 설도(설깃살), 생것",전국(대표),2019,농축산물,육류,R001681,농진청('16),100,200,21.09,12.22,0,0,51,70.6,4.45,0.23
183,R001682-ZZ-AVG,"소고기, 한우(1등급), 안심(안심살), 생것",전국(대표),2019,농축산물,육류,R001682,농진청('16),100,200,19.17,13.14,0,0,45,57.81,5.42,0.28
184,R001683-ZZ-AVG,"소고기, 한우(1등급), 앞다리(꾸리살), 생것",전국(대표),2019,농축산물,육류,R001683,농진청('16),100,155,20.61,7.43,0,0,58,62.46,3.07,0.15
185,R001684-ZZ-AVG,"소고기, 한우(1등급), 우둔(우둔살), 생것",전국(대표),2019,농축산물,육류,R001684,농진청('16),100,164,23.08,7.29,0,0,51,58.34,3.05,0.14
186,R001685-ZZ-AVG,"소고기, 한우(1등급), 우둔(홍두깨살), 생것",전국(대표),2019,농축산물,육류,R001685,농진청('16),100,145,22.66,5.38,0,0,46,51.93,2.2,0.11
187,R001686-ZZ-AVG,"소고기, 한우(1등급), 양지(양지머리), 생것",전국(대표),2019,농축산물,육류,R001686,농진청('16),100,185,21.16,10.49,0,0,57,61.59,3.89,0.2
188,R001687-ZZ-AVG,"소고기, 한우(1등급), 양지(업진살), 생것",전국(대표),2019,농축산물,육류,R001687,농진청('16),100,251,21.15,17.87,0,0,55,71.7,6.59,0.37
189,R001688-ZZ-AVG,"소고기, 한우(1등급), 채끝(채끝살), 생것",전국(대표),2019,농축산물,육류,R001688,농진청('16),100,218,17.59,15.79,0,0,47,60.41,6.22,0.3
190,R001689-ZZ-AVG,"소고기, 한우(1등급), 앞다리(부채살), 생것",전국(대표),2019,농축산물,육류,R001689,농진청('16),100,261,20.7,19.14,0,0,58,69.05,6.69,0.34
191,R001690-ZZ-AVG,"소고기, 한우(1등급), 앞다리(앞다리살), 생것",전국(대표),2019,농축산물,육류,R001690,농진청('16),100,177,21.53,9.38,0,0,54,62.8,3.89,0.21
192,R001691-ZZ-AVG,"소고기, 한우(1등급), 갈비(꽃갈비), 생것",전국(대표),2019,농축산물,육류,R001691,농진청('16),100,383,15.35,35.25,0,0,47,83.81,10.35,0.63
193,R001692-ZZ-AVG,"소고기, 한우(1등급), 갈비(본갈비), 생것",전국(대표),2019,농축산물,육류,R001692,농진청('16),100,303,16.94,25.61,0,0,48,71.63,9.29,0.51
194,R001693-ZZ-AVG,"소고기, 한우(1등급), 갈비(안창살), 생것",전국(대표),2019,농축산물,육류,R001693,농진청('16),100,284,15.46,24.16,0,0,44,67.06,9.79,0.47
195,R001694-ZZ-AVG,"소고기, 한우(1등급), 갈비(제비추리), 생것",전국(대표),2019,농축산물,육류,R001694,농진청('16),100,175,21.95,9.06,0,0,49,61.75,3.04,0.15
196,R001695-ZZ-AVG,"소고기, 한우(1등급), 갈비(참갈비), 생것",전국(대표),2019,농축산물,육류,R001695,농진청('16),100,390,15.89,35.76,0,0,46,77.06,10.93,0.7
197,R001696-ZZ-AVG,"소고기, 한우(1등급), 갈비(토시살), 생것",전국(대표),2019,농축산물,육류,R001696,농진청('16),100,264,19.63,20.02,0,0,46,67.18,7.92,0.39
198,R001697-ZZ-AVG,"소고기, 한우(1등급), 등심(꽃등심살), 생것",전국(대표),2019,농축산물,육류,R001697,농진청('16),100,326,17.76,27.73,0,0,42,69.79,11.16,0.55
199,R001698-ZZ-AVG,"소고기, 한우(1등급), 등심(살치살), 생것",전국(대표),2019,농축산물,육류,R001698,농진청('16),100,309,16.68,26.39,0,0,47,72.27,8.89,0.44
200,R001699-ZZ-AVG,"소고기, 한우(1등급), 등심(아래등심살), 생것",전국(대표),2019,농축산물,육류,R001699,농진청('16),100,256,17.79,19.96,0,0,44,61.14,7.07,0.35
201,R001700-ZZ-AVG,"소고기, 한우(1등급), 등심(윗등심살), 생것",전국(대표),2019,농축산물,육류,R001700,농진청('16),100,301,20.05,23.89,0,0,51,70.38,9.36,0.5
202,R001701-ZZ-AVG,"소고기, 한우(1등급), 사태(뒷사태), 생것",전국(대표),2019,농축산물,육류,R001701,농진청('16),100,151,22.93,5.85,0,0,67,63.66,2.13,0.11
